Timestamp,What type of car did you see most often on the way to UOA,How many SUV's did you see on your trip to UOA,Which fuel type do you notice most often on your trip to UOA,What car brand did you notice most on your trip to UOA,How many times did you hear a honk
,Sedan,30,Hybrid,Toyota,
,SUV,26,Petrol,Nissan,
,SUV,22,Petrol,Toyota,
,SUV,63,Petrol,Nissan,
,SUV,58,Electric,Tesla,
,SUV,44,Hybrid,Toyota,
,Sedan,44,Hybrid,Toyota,
,SUV,44,Petrol,Toyota,
,Sedan,53,Petrol,Toyota,
,SUV,33,Petrol,other,
,SUV,51,Petrol,Toyota,
,SUV,33,Petrol,Toyota,
,SUV,48,Petrol,Toyota,
,SUV,21,Petrol,Mazda,
,Sedan,27,Petrol,Toyota,
,SUV,39,Petrol,Toyota,
,Sedan,27,Petrol,other,
,Hatchback,24,Hybrid,Toyota,
,SUV,41,Hybrid,Nissan,
,SUV,33,Petrol,other,
,SUV,34,Petrol,Mazda,
,SUV,33,Petrol,Toyota,
,Hatchback,21,Petrol,Toyota,
,SUV,54,Petrol,Toyota,
,Hatchback,29,Petrol,other,
,SUV,50,Petrol,Toyota,
,SUV,55,Petrol,Toyota,
,Hatchback,28,Petrol,other,
,Ute/Pickup Truck,33,Petrol,Ford,
,Sedan,35,Hybrid,Toyota,
,Hatchback,20,Petrol,other,
,SUV,68,Petrol,Toyota,
,Hatchback,29,Petrol,Honda,
,Sedan,40,Petrol,Toyota,
,SUV,75,Petrol,Mazda,
,Sedan,68,Hybrid,Toyota,
,Ute/Pickup Truck,47,Petrol,Ford,
,Sedan,32,Hybrid,Toyota,
,Hatchback,27,Petrol,other,
